Image,Original Name,Word Count Range,Sentence Number,Image Sequence,Font Size,Font Style,Blur Level,Background Color,Gold Label,Response
11,40-60_11_02_base_18_Jameel Noori Nastaleeq.jpg,40-60,11,2,18,Jameel Noori Nastaleeq,0,0,پاکستان کے سینئر اداکار عابد کشمیری انتقال کر گئے۔ عابدکشمیری کی بیٹی نےاپنے والد کے انتقال کی تصدیق کرتے ہوئے بتایا کہ وہ کچھ عرصہ سے بیمار تھے ،۔عابد کشمیری نے سینکڑوں ٹی وی ڈراموں، اسٹیج اورفلموں میں کام کیا، انہوں  نے اپنے پسماندگان میں دو بیٹے اور دو بیٹیاں چھوڑی ہیں۔،انکی عمر 74 سال تھی۔ ,پاکستان کے سینئر اداکار عابد کشمیری انتقال کر گئے۔ عابد کشمیری کی بیٹی نے اپنے والد کے انتقال کی تصدیق کرتے ہوئے بتایا کہ وہ کچھ عرصہ سے بیمار تھے۔ عابد کشمیری نے سینکڑوں ٹی وی ڈراموں، اسٹیج اور فلموں میں کام کیا، انہوں نے اپنے پسماندگان میں دو بیٹے اور دو بیٹیاں چھوڑی ہیں۔ انکی عمر 74 سال تھی۔
12,40-60_11_02_base_18_Jameel Noori Nastaleeq_bg-light_yellow.jpg,40-60,11,2,18,Jameel Noori Nastaleeq,0,light_yellow,پاکستان کے سینئر اداکار عابد کشمیری انتقال کر گئے۔ عابدکشمیری کی بیٹی نےاپنے والد کے انتقال کی تصدیق کرتے ہوئے بتایا کہ وہ کچھ عرصہ سے بیمار تھے ،۔عابد کشمیری نے سینکڑوں ٹی وی ڈراموں، اسٹیج اورفلموں میں کام کیا، انہوں  نے اپنے پسماندگان میں دو بیٹے اور دو بیٹیاں چھوڑی ہیں۔،انکی عمر 74 سال تھی۔ ,پاکستان کے سینئر اداکار عابد کشمیری انتقال کر گئے۔ عابد کشمیری کی بیٹی نے اپنے والد کے انتقال کی تصدیق کرتے ہوئے بتایا کہ وہ کچھ عرصے سے بیمار تھے۔ عابد کشمیری نے سینکڑوں ٹی وی ڈراموں، اسٹیج اور فلموں میں کام کیا۔ انہوں نے اپنے پسندگان میں دو بیٹے اور دو بیٹیاں چھوڑی ہیں۔ انکی عمر 74 سال تھی۔
13,40-60_11_02_base_18_Jameel Noori Nastaleeq_bg-slate_gray.jpg,40-60,11,2,18,Jameel Noori Nastaleeq,0,slate_gray,پاکستان کے سینئر اداکار عابد کشمیری انتقال کر گئے۔ عابدکشمیری کی بیٹی نےاپنے والد کے انتقال کی تصدیق کرتے ہوئے بتایا کہ وہ کچھ عرصہ سے بیمار تھے ،۔عابد کشمیری نے سینکڑوں ٹی وی ڈراموں، اسٹیج اورفلموں میں کام کیا، انہوں  نے اپنے پسماندگان میں دو بیٹے اور دو بیٹیاں چھوڑی ہیں۔،انکی عمر 74 سال تھی۔ ,پاکستان کے سینئر اداکار جاوید کشمیری کا انتقال کر گئے۔ جاوید کشمیری کچھ عرصے سے بیمار تھے۔ جاوید کشمیری نے بیسکلی رومانوی ڈراموں میں کام کیا۔ انہوں نے اپنے پسماندگان میں ایک بیٹا اور دو بیٹیاں چھوڑی ہیں۔ انکی عمر 74 سال تھی۔
14,40-60_11_02_base_18_Jameel Noori Nastaleeq_blur-1.25.jpg,40-60,11,2,18,Jameel Noori Nastaleeq,1.25,0,پاکستان کے سینئر اداکار عابد کشمیری انتقال کر گئے۔ عابدکشمیری کی بیٹی نےاپنے والد کے انتقال کی تصدیق کرتے ہوئے بتایا کہ وہ کچھ عرصہ سے بیمار تھے ،۔عابد کشمیری نے سینکڑوں ٹی وی ڈراموں، اسٹیج اورفلموں میں کام کیا، انہوں  نے اپنے پسماندگان میں دو بیٹے اور دو بیٹیاں چھوڑی ہیں۔،انکی عمر 74 سال تھی۔ ,پاکستان کے سینئر اداکار عابد کشمیری انتقال کر گئے۔ عابد کشمیری کی بیٹی نے اپنے والد کے انتقال کی تصدیق کرتے ہوئے بتایا کہ وہ کچھ عرصہ سے بیمار تھے۔ عابد کشمیری نے ٹیلیویژن، فلموں میں کام کیا۔ انہوں نے اپنے پسماندگان میں دو بیٹے اور دو بیٹیاں چھوڑی ہیں۔ انکی عمر 74 سال تھی۔
15,40-60_11_02_base_18_Jameel Noori Nastaleeq_blur-1.75.jpg,40-60,11,2,18,Jameel Noori Nastaleeq,1.75,0,پاکستان کے سینئر اداکار عابد کشمیری انتقال کر گئے۔ عابدکشمیری کی بیٹی نےاپنے والد کے انتقال کی تصدیق کرتے ہوئے بتایا کہ وہ کچھ عرصہ سے بیمار تھے ،۔عابد کشمیری نے سینکڑوں ٹی وی ڈراموں، اسٹیج اورفلموں میں کام کیا، انہوں  نے اپنے پسماندگان میں دو بیٹے اور دو بیٹیاں چھوڑی ہیں۔،انکی عمر 74 سال تھی۔ ,پاکستان کے سینئر اداکار سلیم شیخری انتقال کر گئے۔ سلیم شیخری کی بیٹی نے اپنے والد کے انتقال کی تصدیق کرتے ہوئے بتایا کہ وہ کچھ عرصہ سے بیمار تھے۔ سلیم شیخری نے سینکڑوں ٹی وی ڈراموں، ٹی وی شوز اور فلموں میں کام کیا۔ انہوں نے اپنے پس ماندگان میں دو بیٹے اور دو بیٹیاں چھوڑ دی ہیں۔ انکی عمر 74 سال تھی۔
16,40-60_11_03_base_24_Jameel Noori Nastaleeq.jpg,40-60,11,3,24,Jameel Noori Nastaleeq,0,0,پاکستان کے سینئر اداکار عابد کشمیری انتقال کر گئے۔ عابدکشمیری کی بیٹی نےاپنے والد کے انتقال کی تصدیق کرتے ہوئے بتایا کہ وہ کچھ عرصہ سے بیمار تھے ،۔عابد کشمیری نے سینکڑوں ٹی وی ڈراموں، اسٹیج اورفلموں میں کام کیا، انہوں  نے اپنے پسماندگان میں دو بیٹے اور دو بیٹیاں چھوڑی ہیں۔،انکی عمر 74 سال تھی۔ ,پاکستان کے سینئر اداکار عابد کشمیری انتقال کر گئے۔ عابد کشمیری کی بیٹی نے اپنے والد کے انتقال کی تصدیق کرتے ہوئے بتایا کہ وہ کچھ عرصہ سے بیمار تھے۔ عابد کشمیری نے سینکڑوں ٹی وی ڈراموں، اسٹیج اور فلموں میں کام کیا، انہوں نے اپنے پسماندگان میں دو بیٹے اور دو بیٹیاں چھوڑی ہیں۔ انکی عمر 74 سال تھی۔
17,40-60_11_04_base_18_Alvi Nastaleeq.jpg,40-60,11,4,18,Alvi Nastaleeq,0,0,پاکستان کے سینئر اداکار عابد کشمیری انتقال کر گئے۔ عابدکشمیری کی بیٹی نےاپنے والد کے انتقال کی تصدیق کرتے ہوئے بتایا کہ وہ کچھ عرصہ سے بیمار تھے ،۔عابد کشمیری نے سینکڑوں ٹی وی ڈراموں، اسٹیج اورفلموں میں کام کیا، انہوں  نے اپنے پسماندگان میں دو بیٹے اور دو بیٹیاں چھوڑی ہیں۔،انکی عمر 74 سال تھی۔ ,پاکستان کے سینئر اداکار عابد کشمیری انتقال کر گئے۔ عابد کشمیری کی بیٹی نے اپنے والد کے انتقال کی تصدیق کرتے ہوئے بتایا کہ وہ کچھ عرصہ سے بیمار تھے۔ عابد کشمیری نے سینکڑوں ٹی وی ڈراموں، اسٹیج اور فلموں میں کام کیا، انہوں نے اپنے پسماندگان میں دو بیٹے اور دو بیٹیاں چھوڑی ہیں۔ انکی عمر 74 سال تھی۔
18,40-60_11_05_base_18_Nafees Nastaleeq.jpg,40-60,11,5,18,Nafees Nastaleeq,0,0,پاکستان کے سینئر اداکار عابد کشمیری انتقال کر گئے۔ عابدکشمیری کی بیٹی نےاپنے والد کے انتقال کی تصدیق کرتے ہوئے بتایا کہ وہ کچھ عرصہ سے بیمار تھے ،۔عابد کشمیری نے سینکڑوں ٹی وی ڈراموں، اسٹیج اورفلموں میں کام کیا، انہوں  نے اپنے پسماندگان میں دو بیٹے اور دو بیٹیاں چھوڑی ہیں۔،انکی عمر 74 سال تھی۔ ,پاکستان کے سینئر اداکار عابد لشکری انتقال کر گئے۔ عابد لشکری کی بیٹی نے اپنے والد کے انتقال کی تصدیق کرتے ہوئے بتایا کہ وہ کچھ عرصہ سے بیمار تھے۔ عابد لشکری نے سینکڑوں ٹی وی ڈراموں، اسٹیج اور فلموں میں کام کیا، انہوں نے اپنے پسماندگان میں دو بیٹے اور دو بیٹیاں چھوڑی ہیں۔ انکی عمر 74 سال تھی۔
19,40-60_12_01_base_12_Jameel Noori Nastaleeq.jpg,40-60,12,1,12,Jameel Noori Nastaleeq,0,0,پاکستان شوبز انڈسٹری کے معروف لکھاری اور اداکار خلیل الرحمان قمر نے عشق مجازی اور عشق حقیقی کے درمیان فرق واضح کردیا۔ سماء کے پروگرام ’ مکالمہ ود خلیل الرحمان ‘ کے دوران معروف رائٹر  نے عشق مجازی اور عشق حقیقی کے حوالے سے اہم گفتگو کی۔ ویڈیو دیکھیے۔,"پاکستان شوبز انڈسٹری کے معروف لکھاری اور اداکار خلیل الرحمان قمر کے پروگرام ""مکالمہ دو"" خلیل الرحمان کے دوران معروف اینکر نے عشق بازی اور عشق حقیقی کے درمیان فرق واضح کر دیا۔ سامعین پروگرام ""مکالمہ دو"" خلیل الرحمان قمر کے دوران معروف اینکر نے عشق بازی اور عشق حقیقی کے حوالے سے اہم گفتگو کی۔ ویڈیو دیکھئے۔"
20,40-60_12_02_base_18_Jameel Noori Nastaleeq.jpg,40-60,12,2,18,Jameel Noori Nastaleeq,0,0,پاکستان شوبز انڈسٹری کے معروف لکھاری اور اداکار خلیل الرحمان قمر نے عشق مجازی اور عشق حقیقی کے درمیان فرق واضح کردیا۔ سماء کے پروگرام ’ مکالمہ ود خلیل الرحمان ‘ کے دوران معروف رائٹر  نے عشق مجازی اور عشق حقیقی کے حوالے سے اہم گفتگو کی۔ ویڈیو دیکھیے۔,پاکستان شوبز انڈسٹری کے معروف لکھاری اور اداکار خلیل الرحمن قمر نے عشق مجازی اور عشق حقیقی کے درمیان فرق واضح کردیا۔ سما کے پروگرام ’مکالمہ ود خلیل الرحمن‘ کے دوران معروف رائٹر نے عشق مجازی اور عشق حقیقی کے حوالے سے اہم گفتگو کی۔ ویڈیو دیکھیے۔
21,40-60_12_02_base_18_Jameel Noori Nastaleeq_bg-light_yellow.jpg,40-60,12,2,18,Jameel Noori Nastaleeq,0,light_yellow,پاکستان شوبز انڈسٹری کے معروف لکھاری اور اداکار خلیل الرحمان قمر نے عشق مجازی اور عشق حقیقی کے درمیان فرق واضح کردیا۔ سماء کے پروگرام ’ مکالمہ ود خلیل الرحمان ‘ کے دوران معروف رائٹر  نے عشق مجازی اور عشق حقیقی کے حوالے سے اہم گفتگو کی۔ ویڈیو دیکھیے۔,پاکستان شوبز انڈسٹری کے معروف لکھاری اور اداکار خلیل الرحمن قمر نے عشق مجازی اور عشق حقیقی کے درمیان فرق واضح کردیا۔ سماہ کے پروگرام ’مکالمہ ود خلیل الرحمن‘ کے دوران معروف رائٹر نے عشق مجازی اور عشق حقیقی کے حوالے سے اہم گفتگو کی۔ ویڈیو دیکھیں۔
22,40-60_12_02_base_18_Jameel Noori Nastaleeq_bg-slate_gray.jpg,40-60,12,2,18,Jameel Noori Nastaleeq,0,slate_gray,پاکستان شوبز انڈسٹری کے معروف لکھاری اور اداکار خلیل الرحمان قمر نے عشق مجازی اور عشق حقیقی کے درمیان فرق واضح کردیا۔ سماء کے پروگرام ’ مکالمہ ود خلیل الرحمان ‘ کے دوران معروف رائٹر  نے عشق مجازی اور عشق حقیقی کے حوالے سے اہم گفتگو کی۔ ویڈیو دیکھیے۔,پاکستان شو بز انڈسٹری کے معروف لکھاری اور اداکار خلیل الرحمن قمر نے عشق مجازی اور عشق حقیقی کے درمیان فرق واضح کر دیا۔ اس حوالے سے اہم گفتگو کی ویڈیو نیچے ملاحظہ کریں۔
23,40-60_12_02_base_18_Jameel Noori Nastaleeq_blur-1.25.jpg,40-60,12,2,18,Jameel Noori Nastaleeq,1.25,0,پاکستان شوبز انڈسٹری کے معروف لکھاری اور اداکار خلیل الرحمان قمر نے عشق مجازی اور عشق حقیقی کے درمیان فرق واضح کردیا۔ سماء کے پروگرام ’ مکالمہ ود خلیل الرحمان ‘ کے دوران معروف رائٹر  نے عشق مجازی اور عشق حقیقی کے حوالے سے اہم گفتگو کی۔ ویڈیو دیکھیے۔,پاکستان شو بز انڈسٹری کے معروف لکھاری اور اداکار ظہیل الرحمٰن قمر نے عشق مجازی اور عشق حقیقی کے درمیان فرق واضح کر دیا۔ سماہ کے پروگرام ’مقالمہ‘ دو میں الرحمٰن کے دوران معروف رائٹر نے عشق مجازی اور عشق حقیقی کے حوالے سے اہم گفتگو کی۔ ویڈیو دیکھیے۔
24,40-60_12_02_base_18_Jameel Noori Nastaleeq_blur-1.75.jpg,40-60,12,2,18,Jameel Noori Nastaleeq,1.75,0,پاکستان شوبز انڈسٹری کے معروف لکھاری اور اداکار خلیل الرحمان قمر نے عشق مجازی اور عشق حقیقی کے درمیان فرق واضح کردیا۔ سماء کے پروگرام ’ مکالمہ ود خلیل الرحمان ‘ کے دوران معروف رائٹر  نے عشق مجازی اور عشق حقیقی کے حوالے سے اہم گفتگو کی۔ ویڈیو دیکھیے۔,پاکستان شو بز انڈسٹری کے معروف لکھاری اور اداکار خلیل الرحمن قمر نے مشرقی حیاوی اور مشرقی حقیقی کے درمیان فرق واضح کر دیا۔ سماہ کے پروگرام ’مکالمہ‘ دو میں خلیل الرحمن کے دوران معروف رائٹر نے مشرقی حیاوی اور مشرقی حقیقی کے حوالے سے اہم گفتگو کی۔ ویڈیو دیکھیے۔
25,40-60_12_03_base_24_Jameel Noori Nastaleeq.jpg,40-60,12,3,24,Jameel Noori Nastaleeq,0,0,پاکستان شوبز انڈسٹری کے معروف لکھاری اور اداکار خلیل الرحمان قمر نے عشق مجازی اور عشق حقیقی کے درمیان فرق واضح کردیا۔ سماء کے پروگرام ’ مکالمہ ود خلیل الرحمان ‘ کے دوران معروف رائٹر  نے عشق مجازی اور عشق حقیقی کے حوالے سے اہم گفتگو کی۔ ویڈیو دیکھیے۔,پاکستان شوبز انڈسٹری کے معروف لکھاری اور اداکار خلیل الرحمان قمر نے عشق مجازی اور عشق حقیقی کے درمیان فرق واضح کر دیا۔ سما کے پروگرام 'مکالمہ ود خلیل الرحمان' کے دوران معروف رائٹر نے عشق مجازی اور عشق حقیقی کے حوالے سے اہم گفتگو کی۔ ویڈیو دیکھئے۔
26,40-60_12_04_base_18_Alvi Nastaleeq.jpg,40-60,12,4,18,Alvi Nastaleeq,0,0,پاکستان شوبز انڈسٹری کے معروف لکھاری اور اداکار خلیل الرحمان قمر نے عشق مجازی اور عشق حقیقی کے درمیان فرق واضح کردیا۔ سماء کے پروگرام ’ مکالمہ ود خلیل الرحمان ‘ کے دوران معروف رائٹر  نے عشق مجازی اور عشق حقیقی کے حوالے سے اہم گفتگو کی۔ ویڈیو دیکھیے۔,پاکستان شوبز انڈسٹری کے معروف لکھاری اور اداکار خلیل الرحمن قمر نے عشق مجازی اور عشق حقیقی کے درمیان فرق واضح کر دیا۔ سحائے کے پروگرام 'مکالمہ ود خلیل الرحمن' کے دوران معروف رائٹر نے عشق مجازی اور عشق حقیقی کے حوالے سے اہم گفتگو کی۔ ویڈیو دیکھیے۔
27,40-60_12_05_base_18_Nafees Nastaleeq.jpg,40-60,12,5,18,Nafees Nastaleeq,0,0,پاکستان شوبز انڈسٹری کے معروف لکھاری اور اداکار خلیل الرحمان قمر نے عشق مجازی اور عشق حقیقی کے درمیان فرق واضح کردیا۔ سماء کے پروگرام ’ مکالمہ ود خلیل الرحمان ‘ کے دوران معروف رائٹر  نے عشق مجازی اور عشق حقیقی کے حوالے سے اہم گفتگو کی۔ ویڈیو دیکھیے۔,پاکستان شوبز انڈسٹری کے معروف لکھاری اور اداکار خلیل الرحمن قمر نے عشق مجازی اور عشق حقیقی کے درمیان فرق واضح کر دیا۔ ساعہ کے پروگرام کے دوران معروف رائٹر نے عشق مجازی اور عشق حقیقی کے حوالے سے اہم گفتگو کی۔ ویڈیو دیکھیے۔
